MunicipCode,pan.vote.09,marginality.06,PAN.governor.06,PAN.visits.06
8024,0.43,-1.243,0,0
8025,0.4,-1.156,0,0
8026,0.272,-0.9,0,0
8027,0.232,1.923,0,0
8028,0.266,-0.977,0,0
8029,0.148,1.927,0,0
8030,0.291,1.436,0,0
8031,0.254,-0.828,0,0
8032,0.232,-1.823,0,1
8033,0.125,-0.287,0,0
8034,0.072,-1.075,0,0
8035,0.239,-1.003,0,0
8036,0.346,-1.461,0,0
8037,0.231,-1.788,0,2
8038,0.415,-1.055,0,0
8039,0.28,-1.063,0,0
8040,0.414,-1.045,0,0
8041,0.178,1.501,0,0
8042,0.292,-0.709,0,0
8043,0.442,-0.958,0,0
8044,0.262,-0.984,0,0
8045,0.361,-1.559,0,0
8046,0.295,2.014,0,0
8047,0.209,0.267,0,0
8048,0.392,-1.159,0,0
8049,0.235,0.643,0,0
8050,0.238,-1.767,0,0
8051,0.391,0.241,0,0
8052,0.315,-1.597,0,0
8053,0.285,-0.937,0,0
8054,0.287,-1.146,0,0
8055,0.352,-1.195,0,0
8056,0.104,-0.418,0,0
8057,0.437,-0.587,0,0
8058,0.319,-1.12,0,0
8059,0.292,-1.271,0,0
8060,0.306,-1.741,0,0
8061,0.407,-0.631,0,0
8062,0.428,-1.434,0,0
8063,0.382,0.006,0,0
8064,0.165,-0.284,0,0
8065,0.26,1.934,0,0
8066,0.311,1.663,0,0
8067,0.248,-0.826,0,0
9000,0.203,-1.505,0,35
10001,0.256,-0.821,0,0
10002,0.361,1.23,0,0
10003,0.082,-0.112,0,0
10004,0.311,-0.648,0,0
10005,0.252,-1.591,0,2
10006,0.356,-0.101,0,0
10007,0.187,-1.557,0,0
10008,0.295,-1.028,0,0
10009,0.317,0.501,0,0
10010,0.273,-0.514,0,0
10011,0.407,-0.473,0,0
10012,0.25,-1.279,0,0
10013,0.208,-0.638,0,0
10014,0.241,2.483,0,0
10015,0.27,-0.445,0,0
10016,0.273,-0.449,0,0
10017,0.238,-0.689,0,0
10018,0.323,-0.961,0,0
10019,0.259,0.901,0,0
10020,0.209,-0.641,0,0
10021,0.323,-0.233,0,0
10022,0.218,-0.767,0,0
10023,0.278,-0.018,0,0
10024,0.303,-0.659,0,0
10025,0.258,-0.024,0,0
10026,0.256,0.255,0,0
10027,0.329,0.309,0,0
10028,0.232,-0.422,0,0
10029,0.332,-0.448,0,0
10030,0.315,-0.441,0,0
10031,0.386,-0.35,0,0
10032,0.326,-0.816,0,0
10033,0.224,-0.079,0,0
10034,0.083,1.469,0,0
10035,0.401,0.095,0,0
10036,0.173,-0.889,0,0
10037,0.274,1.404,0,0
10038,0.3,-1.112,0,0
10039,0.26,-0.717,0,0
11001,0.446,-0.267,1,0
11002,0.323,-0.835,1,0
11003,0.355,-0.404,1,1
11004,0.229,-0.447,1,0
11005,0.415,-0.568,1,0
11006,0.382,0.92,1,0
11007,0.414,-1.461,1,2
11008,0.449,-0.285,1,0
11009,0.402,-0.13,1,0
11010,0.396,-0.113,1,0
11011,0.448,-0.942,1,0
11012,0.499,-0.295,1,0
11013,0.214,0.178,1,0
11014,0.435,-0.221,1,0
11015,0.372,-1.272,1,0
11016,0.362,-0.363,1,0
11017,0.463,-1.252,1,0
11018,0.459,-0.807,1,0
11019,0.397,0.254,1,0
11020,0.448,-1.502,1,4
11021,0.232,-1.386,1,2
11022,0.418,0.008,1,0
11023,0.664,-0.325,1,0
11024,0.405,-0.329,1,0
11025,0.539,-0.897,1,0
11026,0.345,-0.246,1,0
11027,0.512,-1.214,1,2
11028,0.383,-0.734,1,0
11029,0.305,0.324,1,0
11030,0.491,0.203,1,0
11031,0.543,-1.085,1,0
11032,0.373,-0.58,1,0
11033,0.37,-0.155,1,0
11034,0.355,0.784,1,0
11035,0.33,-0.332,1,0
11036,0.23,-0.391,1,0
11037,0.508,-0.665,1,1
11038,0.473,-0.671,1,0
11039,0.499,-0.39,1,0
11040,0.235,0.712,1,0
11041,0.304,-1.176,1,0
11042,0.323,-0.575,1,1
11043,0.509,0.586,1,0
11044,0.312,-0.936,1,0
11045,0.39,0.987,1,0
11046,0.306,-0.444,1,1
12001,0.111,-0.864,0,3
12002,0.063,2.123,0,0
12003,0.136,1.419,0,0
12004,0.006,2.427,0,0
12005,0.009,0.211,0,0
12006,0.155,0.293,0,0
12007,0.049,0.08,0,0
12008,0.183,1.01,0,0
12009,0.061,2.009,0,0
12010,0.293,2.596,0,0
12011,0.024,0.278,0,0
12012,0.077,1.539,0,0
12013,0.216,1.091,0,0
12014,0.031,-0.282,0,0
12015,0.162,-0.548,0,0
12016,0.044,2.405,0,0
12017,0.065,0.272,0,0
12018,0.092,0.408,0,0
12019,0.076,2.158,0,0
12020,0.03,2.503,0,0
12021,0.093,0.445,0,0
12022,0.183,1.035,0,0
12023,0.23,0.642,0,0
12024,0.038,1.107,0,0
12025,0.055,1.269,0,0
12026,0.035,1.102,0,0
12027,0.161,0.677,0,0
12028,0.038,1.532,0,0
12029,0.064,-0.914,0,1
12030,0.111,0.522,0,0
12031,0.094,1.191,0,0
12032,0.211,2.035,0,0
12033,0.153,0.1,0,0
12034,0.081,0.114,0,0
12035,0.085,-0.985,0,1
12036,0.079,1.345,0,0
12037,0.078,0.484,0,0
12038,0.047,-0.962,0,0
12039,0.361,0.256,0,0
12040,0.238,0.732,0,0
12041,0.02,2.134,0,0
12042,0.052,1.611,0,0
12043,0.006,3.089,0,0
12044,0.034,0.603,0,0
12045,0.044,1.67,0,0
12046,,0.955,0,0
12047,0.053,2.336,0,0
12048,0.076,-0.009,0,0
12049,0.049,0.168,0,0
12050,0.214,-0.665,0,0
12051,0.195,1.529,0,0
12052,0.038,1.972,0,0
12053,0.111,1.066,0,0
12054,0.211,2.185,0,0
12055,0.161,-0.46,0,0
12056,0.272,1.013,0,0
12057,0.091,0.058,0,0
12058,0.026,0.415,0,0
12059,0.029,0.494,0,0
12060,0.152,0.826,0,0
12061,0.12,-0.004,0,0
12062,0.06,2.68,0,0
12063,0.064,2.428,0,0
12064,0.007,0.63,0,0
12065,0.347,0.9,0,0
12066,0.011,0.514,0,0
12067,0.038,0.222,0,0
12068,0.012,0.554,0,0
12069,0.029,2.403,0,0
12070,0.145,0.749,0,0
12071,0.221,2.456,0,0
12072,0.027,2.318,0,0
12073,0.217,1.503,0,0
12074,0.095,1.867,0,0
12075,0.059,0.231,0,0
12076,0.033,3.109,0,0
12077,,0.417,0,
12078,,4.498,0,
12079,0.13,2.932,0,
12080,,1.237,0,
12081,0.059,2.161,0,
13001,0.249,0.164,0,0
13002,0.187,0.834,0,0
13003,0.076,-0.962,0,0
13004,0.192,0.572,0,0
13005,0.094,-0.687,0,0
13006,0.158,0.112,0,0
13007,0.312,-0.209,0,0
13008,0.274,-0.978,0,0
13009,0.091,-0.289,0,0
13010,0.179,-1.288,0,0
13011,0.04,0.72,0,0
13012,0.127,-0.158,0,0
13013,0.092,-1.062,0,0
13014,0.135,0.522,0,0
13015,0.073,0.008,0,0
13016,0.196,-0.294,0,0
13017,0.046,0.047,0,0
13018,0.041,0.635,0,0
13019,0.068,-0.297,0,0
13020,0.005,0.018,0,0
13021,0.155,-1.193,0,0
13022,0.262,-0.536,0,0
13023,0.04,-0.883,0,0
13024,0.186,-0.016,0,0
13025,0.025,0.667,0,0
13026,0.018,0.845,0,0
13027,0.143,1.678,0,0
13028,0.097,0.258,0,1
13029,0.186,-0.566,0,0
13030,0.136,-0.735,0,0
13031,0.075,0.141,0,0
13032,0.069,0.377,0,0
13033,0.006,-0.014,0,0
13034,0.066,0.525,0,0
13035,0.147,-0.252,0,0
13036,0.073,-0.108,0,0
13037,0.026,0.375,0,0
13038,0.082,0.338,0,0
13039,0.14,-1.103,0,0
13040,0.041,0.999,0,0
13041,0.123,-1.026,0,0
13042,0.043,0.152,0,0
13043,0.139,0.535,0,0
13044,0.138,-0.023,0,0
13045,0.234,-0.186,0,0
13046,0.167,0.588,0,0
13047,0.266,1.062,0,0
13048,0.485,-1.79,0,1
13049,0.336,0.942,0,0
13050,0.16,-1.24,0,0
13051,0.231,-1.711,0,0
13052,0.114,-0.555,0,0
13053,0.065,1.85,0,0
13054,0.064,-0.574,0,0
13055,0.079,-0.25,0,0
13056,0.207,-0.938,0,0
13057,0.187,-0.104,0,0
13058,0.067,-0.241,0,0
13059,0.177,0.07,0,0
13060,0.078,0.709,0,0
13061,0.13,-1.522,0,0
13062,0.151,1.48,0,0
13063,0.214,-1.074,0,0
13064,0.225,-0.55,0,0
13065,0.031,-1.11,0,0
13066,0.156,-0.877,0,0
13067,0.192,-0.536,0,0
13068,0.176,1.177,0,0
13069,0.144,-1.351,0,0
13070,0.1,-0.907,0,0
13071,0.04,0.891,0,0
13072,0.101,-1.462,0,0
13073,0.193,0.785,0,0
13074,0.152,-1.068,0,0
13075,0.184,-0.937,0,0
13076,0.219,-1.38,0,0
13077,0.174,-1.217,0,1
13078,0.173,1.475,0,0
13079,0.049,0.204,0,0
13080,0.121,1.323,0,0
13081,0.085,-0.644,0,0
13082,0.157,-1.112,0,0
13083,0.13,-0.775,0,0
13084,0.039,-0.293,0,0
14001,0.331,-0.734,1,0
14002,0.224,-1.454,1,0
14003,0.299,-1.304,1,0
14004,0.297,-0.592,1,0
14005,0.199,-1.097,1,0
14006,0.343,-1.265,1,0
14007,0.28,-0.797,1,0
14008,0.435,-0.954,1,0
14009,0.334,-1.26,1,0
14010,0.25,-0.241,1,0
14011,0.422,-0.287,1,0
14012,0.448,-0.767,1,0
14013,0.448,-0.959,1,0
14014,0.495,-0.278,1,0
